feature,importance
qty_roll_min_3,0.14779376983642578
h_branch,0.0813368484377861
qty_roll_min_7,0.07941648364067078
qty_lag_1,0.05705666169524193
qty_roll_mean_7,0.04963761195540428
qty_roll_mean_3,0.04690899699926376
qty_roll_min_14,0.03902924433350563
qty_lag_14,0.033816687762737274
qty_lag_2,0.031095989048480988
dayofweek,0.026472296565771103
qty_roll_mean_14,0.026301942765712738
month,0.02600177749991417
h_invoice,0.024953175336122513
qty_lag_7,0.023171724751591682
day,0.02302752621471882
qty_roll_max_3,0.02289733663201332
qty_roll_mean_30,0.021708497777581215
qty_roll_min_30,0.020330557599663734
h_item,0.019902240484952927
qty_roll_max_30,0.019294794648885727
qty_lag_3,0.019098028540611267
is_weekend,0.018923452123999596
qty_roll_max_14,0.018393471837043762
h_item_branch,0.01803213730454445
qty_roll_std_14,0.01792164146900177
h_item_month,0.017910335212945938
qty_roll_std_7,0.01779412291944027
qty_roll_std_30,0.017735835164785385
qty_roll_std_3,0.017146097496151924
qty_roll_max_7,0.016890663653612137
year,0.0
